fecha,sucursal,id_producto,stock_actual,stock_minimo
31/08/2026,Centro,P0001,26,13
31/08/2026,Centro,P0002,7,7
31/08/2026,Centro,P0003,3,7
31/08/2026,Centro,P0004,11,6
31/08/2026,centro,P0005,7,5
31/08/2026,Centro,P0006,4,4
31/08/2026,Centro,P0007,15,4
31/08/2026,Centro,P0008,4,3
31/08/2026,Centro,P0009,7,5
31/08/2026,Centro,P0010,0,3
31/08/2026,Centro,P0011,0,3
31/08/2026,Centro,P0012,7,3
31/08/2026,Centro,P0013,8,3
31/08/2026,Centro,P0014,2,3
31/08/2026,Centro,P0015,4,3
31/08/2026,Centro,P0016,10,2
31/08/2026,Centro,P0017,1,3
31/08/2026,Centro,P0018,14,2
2026-08-31,Centro,P0019,3,2
31/08/2026,Centro,P0020,2,3
31/08/2026,Centro,P0021,3,2
31/08/2026,Centro,P0022,4,2
31/08/2026,Centro,P0023,0,2
31/08/2026,Centro,P0024,2,3
31/08/2026,Centro,P0025,8,3
31/08/2026,Centro,P0026,1,2
31/08/2026,Centro,P0027,5,2
31/08/2026,Centro,P0028,5,2
31/08/2026,Centro,P0029,4,3
31/08/2026,Centro,P0030,4,2
31/08/2026,Centro,P0031,2,2
31/08/2026,Centro,P0032,5,2
31/08/2026,Centro,P0033,2,2
31/08/2026,Centro,P0034,-1,2
31/08/2026,Centro,P0035,2,3
31/08/2026,Centro,P0036,3,2
31/08/2026,Centro,P0037,18,3
31/08/2026,Centro,P0038,0,2
31/08/2026,Centro,P0039,3,3
31/08/2026,Centro,P0040,7,3
31/08/2026,Centro,P0041,5,3
31/08/2026,Centro,P0042,1,2
31/08/2026,Centro,P0043,8,2
31/08/2026,Centro,P0044,4,2
31/08/2026,Centro,P0045,2,2
31/08/2026,Centro,P0046,2,2
31/08/2026,Centro,P0047,4,2
31/08/2026,Centro,P0048,0,2
31/08/2026,Sucursal Centro,P0049,9,2
31/08/2026,Centro,P0050,2,2
31/08/2026,Centro,P0051,1,2
31/08/2026,Centro,P0052,2,2
31/08/2026,Centro,P0053,1,2
31/08/2026,Centro,P0054,1,2
31/08/2026,Centro,P0055,5,2
31/08/2026,Centro,P0056,5,2
31/08/2026,Centro,P0057,4,2
31/08/2026,Centro,P0058,5,2
31/08/2026,Centro,P0059,4,2
31/08/2026,Centro,P0060,2,2
31/08/2026,Centro,P0061,5,2
31/08/2026,Centro,P0062,6,3
31/08/2026,Centro,P0063,1,2
31/08/2026,Centro,P0064,3,2
31/08/2026,Centro,P0065,2,2
31/08/2026,Centro,P0066,5,2
31/08/2026,Centro,P0067,3,2
31/08/2026,Centro,P0068,3,2
31/08/2026,Centro,P0069,4,2
31/08/2026,Centro,P0070,11,2
31/08/2026,Centro,P0071,12,2
31/08/2026,Centro,P0072,3,2
31/08/2026,Centro,P0073,3,2
31/08/2026,Centro,P0074,5,2
31/08/2026,Centro,P0075,3,2
31/08/2026,Centro,P0076,5,2
31/08/2026,Centro,P0077,3,2
31/08/2026,Centro,P0078,3,
31/08/2026,Centro,P0079,5,2
31/08/2026,Centro,P0080,1,2
31/08/2026,Centro,P0081,2,2
31/08/2026,Centro,P0082,2,2
31/08/2026,Centro,P0083,4,2
31/08/2026,Centro,P0084,2,2
31/08/2026,Centro,P0085,2,2
31/08/2026,Centro,P0086,1,2
31/08/2026,Centro,P0087,3,2
31/08/2026,Centro,P0088,4,2
2026-08-31,Centro,P0089,5,2
31/08/2026,Centro,P0090,3,2
31/08/2026,Centro,P0091,3,2
31/08/2026,Centro,P0092,5,2
31/08/2026,Centro,P0093,4,2
31/08/2026,Centro,P0094,8,2
31/08/2026,Centro,P0095,4,2
31/08/2026,Centro,P0096,11,2
31/08/2026,Centro,P0097,3,2
31/08/2026,Centro,P0098,11,2
31/08/2026,Centro,P0099,3,2
31/08/2026,Centro,P0100,5,2
31/08/2026,Centro,P0101,1,2
31/08/2026,Centro,P9999,3,2
31/08/2026,Centro,P0103,0,2
31/08/2026,Centro,P0104,0,2
31/08/2026,Centro,P0105,7,2
31/08/2026,Centro,P0106,1,2
31/08/2026,Centro,P0107,4,2
31/08/2026,Centro,P0108,1,2
31/08/2026,Centro,P0109,9,2
31/08/2026,Centro,P0110,4,2
31/08/2026,Centro,P0111,2,2
31/08/2026,Centro,P0112,3,2
31/08/2026,Centro,P0113,4,2
31/08/2026,Centro,P0114,1,2
31/08/2026,Centro,P0115,0,2
31/08/2026,Centro,P0116,3,2
31/08/2026,Centro,P0117,1,2
31/08/2026,Centro,P0118,3,2
31/08/2026,Centro,P0119,5,2
31/08/2026,Centro,P0120,-3,2
31/08/2026,Centro,P0121,0,2
31/08/2026,Centro,P0122,4,2
31/08/2026,Centro,P0123,14,2
31/08/2026,Centro,P0124,1,2
31/08/2026,Centro,P0125,5,2
31/08/2026,Centro,P0126,2,2
31/08/2026,Centro,P0127,4,2
31/08/2026,Centro,P0128,3,2
31/08/2026,Centro,P0129,12,2
31/08/2026,Centro,P0130,1,2
31/08/2026,Centro,P0131,1,2
31/08/2026,Centro,P0132,1,2
31/08/2026,Centro,P0133,4,2
31/08/2026,Centro,P0134,4,2
31/08/2026,Centro,P0135,11,2
31/08/2026,Centro,P0136,5,2
31/08/2026,Centro,P0137,3,2
31/08/2026,Centro,P0138,3,2
31/08/2026,Centro,P0139,8,2
31/08/2026,Centro,P0140,3,2
31/08/2026,Centro,P0141,14,2
31/08/2026,Centro,P0142,4,2
31/08/2026,Centro,P0143,2,2
31/08/2026,Centro,P0144,2,2
31/08/2026,Centro,P0145,3,2
31/08/2026,Centro,P0146,3,2
31/08/2026,Centro,P0147,3,2
31/08/2026,Centro,P0148,4,2
31/08/2026,Centro,P0149,5,2
31/08/2026,Centro,P0150,4,2
31/08/2026,Centro,P0151,4,2
31/08/2026,Centro,P0152,3,2
31/08/2026,Centro,P0153,9,2
31/08/2026,Centro,P0154,5,2
31/08/2026,Centro,P0155,2,2
31/08/2026,Centro,P0156,3,2
31/08/2026,Centro,P0157,5,2
31/08/2026,Centro,P0158,1,2
31/08/2026,Centro,P0159,3,2
31/08/2026,Centro,P0160,5,2
31/08/2026,Centro,P0161,2,2
31/08/2026,Centro,P0162,13,2
31/08/2026,Centro,P0163,4,2
31/08/2026,Centro,P0164,4,2
31/08/2026,Centro,P0165,1,2
31/08/2026,Centro,P0166,0,2
31/08/2026,Centro,P0167,5,
31/08/2026,Centro,P0168,2,2
31/08/2026,Centro,P0169,2,2
31/08/2026,Centro,P0170,3,2
31/08/2026,Centro,P0171,7,2
31/08/2026,Centro,P0172,0,2
31/08/2026,Centro,P0173,2,2
31/08/2026,Centro,P0174,4,2
31/08/2026,Centro,P0175,4,2
31/08/2026,Centro,P0176,3,2
31/08/2026,Centro,P0177,4,2
31/08/2026,Centro,P0178,4,2
31/08/2026,Centro,P0179,9,2
31/08/2026,Centro,P0180,4,2
31/08/2026,Centro,P0181,5,2
31/08/2026,Centro,P0182,4,2
31/08/2026,Centro,P0183,3,2
31/08/2026,Centro,P0184,12,2
31/08/2026,Centro,P0185,8,2
31/08/2026,Centro,P0186,4,2
31/08/2026,Centro,P0187,4,2
31/08/2026,Centro,P0188,2,2
31/08/2026,Centro,P0189,1,2
31/08/2026,Centro,P0190,1,2
31/08/2026,Centro,P0191,0,2
31/08/2026,Centro,P0192,0,2
31/08/2026,Centro,P0193,1,2
31/08/2026,Centro,P0194,5,2
31/08/2026,Centro,P0195,0,2
31/08/2026,Centro,P0196,2,2
31/08/2026,Centro,P0197,1,2
31/08/2026,Centro,P0198,2,2
31/08/2026,Centro,P0199,11,2
31/08/2026,Centro,P0200,2,2
31/08/2026,City Bell,P0001,38,8
