id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,sucursal,canal,medio_pago
V000001,17/03/2025,C0158,P0167,1,55310,0.2,Ecommerce,Online,Transferencia
V000002,04/07/2026,C0706,P0022,1,6310,0,Centro,Local,Transferencia
V000002,04/07/2026,C0706,P0035,1,8930,0,Centro,Local,Transferencia
V000003,03/03/2025,,P0003,1,24130,0,Ecommerce,Online,Transferencia
V000003,03/03/2025,,P0118,1,11040,0.05,Ecommerce,Online,Transferencia
V000004,18/02/2026,C0744,P0011,2,31880,0,Ecommerce,Online,Crédito
V000004,18/02/2026,C0744,P0090,1,9500,0,Ecommerce,Online,Débito
V000004,18/02/2026,C0744,P0014,2,46550,0.15,Ecommerce,Online,Mercado Pago
V000004,18/02/2026,C0744,P0120,2,13780,0,Ecommerce,Online,Mercado Pago
V000005,04/03/2026,,P0197,1,7270,0,Ecommerce,Online,Mercado Pago
V000005,04/03/2026,,P0006,1,50320,0,Ecommerce,Online,Crédito
V000005,04/03/2026,,P0157,1,34090,0,Ecommerce,Online,Transferencia
V000006,30/07/2026,C0798,P0001,1,22760,0.05,Los Hornos,Local,Crédito
V000007,14/08/2025,C1625,P0145,1,56950,0,Centro,Local,Transferencia
V000007,14/08/2025,C1625,P0013,1,53250,0.1,Centro,Local,Crédito
V000008,08/09/2025,C0918,P0049,2,60280,0.1,Centro,Local,QR
V000008,08/09/2025,C0918,P0120,1,14750,0,Centro,Local,Débito
V000009,30/10/2025,C0957,P0144,1,35460,0.05,Centro,Local,Efectivo
V000010,06/06/2026,C1902,P0044,1,19430,0,Centro,Local,QR
V000010,06/06/2026,C1902,P0134,2,3850,0.1,Centro,Local,Efectivo
V000010,06/06/2026,C1902,P0080,2,24920,0.1,Centro,Local,Transferencia
V000010,06/06/2026,C1902,P0115,1,15820,0,Centro,Local,Transferencia
V000011,03/06/2026,C0416,P0026,1,13610,0,Centro,Local,Efectivo
V000011,03/06/2026,C0416,P0073,2,55990,0.05,Centro,Local,Efectivo
V000012,28/02/2026,C1112,P0025,1,30940,0,Ecommerce,Online,Débito
V000013,10/06/2026,C1170,P0157,1,34870,0.05,City Bell,Local,Crédito
V000014,08/02/2025,C1835,P0193,1,29460,0.1,City Bell,Local,Efectivo
V000014,08/02/2025,C1835,P0038,2,11260,0,City Bell,Local,Transferencia
V000015,01/11/2025,C1328,P0112,2,13360,0,Ecommerce,Online,Transferencia
V000015,01/11/2025,C1328,P0002,1,7000,0,Ecommerce,Online,Débito
V000015,01/11/2025,C1328,P0030,1,20330,0,Ecommerce,Online,Mercado Pago
V000015,01/11/2025,C1328,P0124,1,4260,0,Ecommerce,Online,Mercado Pago
V000016,22/08/2026,C1056,P0131,3,13040,0.05,Centro,Local,Crédito
V000016,22/08/2026,C1056,P0019,1,12380,0.05,Centro,Local,Transferencia
V000016,22/08/2026,C1056,P0144,1,39460,0,Centro,Local,QR
V000016,22/08/2026,C1056,P0001,1,22530,0,Centro,Local,Efectivo
V000017,21/08/2025,C1252,P0024,1,17210,0,City Bell,Local,Crédito
V000018,12/03/2025,C0249,P0005,1,22600,0,Centro,Local,Transferencia
V000018,12/03/2025,C0249,P0185,1,19100,0.1,Centro,Local,QR
V000018,12/03/2025,C0249,P0067,1,56560,0,Centro,Local,QR
V000019,18/10/2025,C1505,P0002,1,7750,0,Ecommerce,Online,Mercado Pago
V000019,18/10/2025,C1505,P0001,2,22250,0,Ecommerce,Online,Mercado Pago
V000019,18/10/2025,C1505,P0045,1,61800,0,Ecommerce,Online,Débito
V000020,28/08/2026,C1884,P0196,4,24660,0.05,Ecommerce,Online,Mercado Pago
V000020,28/08/2026,C1884,P0145,1,54600,0.1,Ecommerce,Online,Mercado Pago
V000020,28/08/2026,C1884,P0031,2,0,0.1,Ecommerce,Online,Mercado Pago
V000021,01/02/2026,C1494,P0137,3,44320,0,Centro,Local,Débito
V000021,01/02/2026,C1494,P0144,2,35640,0,Centro,Local,Crédito
V000021,01/02/2026,C1494,P0159,1,58370,0.05,Centro,Local,Débito
V000022,23/01/2025,C1609,P0082,1,4470,0.1,Los Hornos,Local,Débito
V000022,23/01/2025,C1609,P0074,1,28170,0.05,Los Hornos,Local,Efectivo
V000022,23/01/2025,C1609,P0019,1,13680,0,Los Hornos,Local,Transferencia
V000023,18/06/2026,C0058,P0033,1,50080,0,City Bell,Local,Débito
V000023,18/06/2026,C0058,P0138,1,4870,0,City Bell,Local,Crédito
V000024,25/03/2025,C1662,P0023,4,54700,0,Centro,Local,Crédito
V000025,20/08/2025,C1026,P0039,2,64010,0,Ecommerce,Online,Transferencia
V000025,20/08/2025,C1026,P0003,1,25090,0,Ecommerce,Online,Crédito
V000025,20/08/2025,C1026,P0046,1,38530,0,Ecommerce,Online,Crédito
V000025,20/08/2025,C1026,P0029,1,43400,0,Ecommerce,Online,Transferencia
V000026,09/06/2025,C1700,P0038,3,12620,0,Los Hornos,Local,Efectivo
V000026,09/06/2025,C1700,P0087,4,4690,0,Los Hornos,Local,Transferencia
V000026,09/06/2025,C1700,P0084,1,4730,0,Los Hornos,Local,QR
V000027,19/10/2025,,P0040,1,19390,0.1,Los Hornos,Local,Crédito
V000027,19/10/2025,,P0020,1,50870,0,Los Hornos,Local,Débito
V000028,31/08/2025,C1947,P0110,1,15000,0.1,City Bell,Local,QR
V000028,31/08/2025,C1947,P0095,1,8190,0.05,City Bell,Local,Efectivo
V000028,31/08/2025,C1947,P0002,1,6940,0,City Bell,Local,QR
V000029,24/03/2026,C0558,P0144,1,36820,0,centro,Local,Efectivo
V000029,24/03/2026,C0558,P0118,1,11140,0,Centro,Local,Crédito
V000029,24/03/2026,C0558,P0026,1,13330,0,Centro,Local,Crédito
V000029,24/03/2026,C0558,P0075,2,39650,0.2,Centro,Local,Crédito
V000030,17/05/2026,C0733,P0103,1,2550,0.05,Centro,Local,Transferencia
V000031,08/01/2025,C1121,P0022,2,6080,0.05,City Bell,Local,QR
V000031,08/01/2025,C1121,P0128,1,12860,0,City Bell,Local,Crédito
V000032,15/01/2025,C0472,P0070,2,63010,0,Ecommerce,Online,Crédito
V000032,15/01/2025,C0472,P0098,1,7020,0,Ecommerce,Online,Mercado Pago
V000032,15/01/2025,C0472,P0152,1,59140,0.05,Ecommerce,Online,Mercado Pago
V000033,19/07/2025,,P0118,1,10550,0.15,Ecommerce,Online,Débito
V000033,19/07/2025,,P0003,1,23910,0,Ecommerce,Online,Débito
